"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: aResourcesXitem","Param: bDifficulty","Param: cSample"
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.bTestGreedyCH","avgt",1,1,0.095805,NaN,"ms/op",OR10x250-,0.50,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.bTestGreedyCH","avgt",1,1,0.094410,NaN,"ms/op",OR10x250-,0.75,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.bTestGreedyCH","avgt",1,1,0.094954,NaN,"ms/op",OR10x250-,0.75,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.bTestGreedyCH","avgt",1,1,0.095833,NaN,"ms/op",OR10x250-,0.75,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.bTestGreedyCH","avgt",1,1,0.094182,NaN,"ms/op",OR10x250-,0.75,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.bTestGreedyCH","avgt",1,1,0.095917,NaN,"ms/op",OR10x250-,0.75,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.bTestGreedyCH","avgt",1,1,0.095519,NaN,"ms/op",OR10x250-,0.75,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.bTestGreedyCH","avgt",1,1,0.095236,NaN,"ms/op",OR10x250-,0.75,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.bTestGreedyCH","avgt",1,1,0.094163,NaN,"ms/op",OR10x250-,0.75,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.bTestGreedyCH","avgt",1,1,0.094286,NaN,"ms/op",OR10x250-,0.75,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.bTestGreedyCH","avgt",1,1,0.096097,NaN,"ms/op",OR10x250-,0.75,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.cTestToyodaCH","avgt",1,1,1.368551,NaN,"ms/op",OR10x100-,0.25,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.cTestToyodaCH","avgt",1,1,1.046141,NaN,"ms/op",OR10x100-,0.25,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.cTestToyodaCH","avgt",1,1,0.671436,NaN,"ms/op",OR10x100-,0.25,_3
